Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts 1	Normalized Counts 1	RPKM 1	Expression 1	Raw Counts 2	Normalized Counts 2	RPKM 2	Expression 2	Raw Counts 3	Normalized Counts 3	RPKM 3	Expression 3	Raw Counts 4	Normalized Counts 4	RPKM 4	Expression 4	pValue 1 vs 2	qValue 1 vs 2	pValue 1 vs 3	qValue 1 vs 3	pValue 1 vs 4	qValue 1 vs 4	pValue 2 vs 3	qValue 2 vs 3	pValue 2 vs 4	qValue 2 vs 4	pValue 3 vs 4	qValue 3 vs 4	fold.change	log2.fold.change
1348912	1348912	1346978	1346978	-	rnb	b1286	ribonuclease II	850	403253	139	208	518	252805	80	130	26	13664	4	7	322	163494	52	84	0.793729543039547	1.0	1.992802594299259E-85	2.3026833977127938E-82	0.029006789005514757	0.5234366026665661	6.8551853041729965E-28	2.4372820366067377E-25	0.5647347667707006	1.0	9.665530472998666E-4	0.05705851983922646	29,5120755269	4,8832334812
3957916	3957970	3959445	3959445	+	ilvC	b3774	ketol-acid reductoisomerase, NAD(P)-binding	640	303879	137	205	34	16935	7	11	29	15189	6	10	316	160283	67	108	3.1888081878672395E-11	5.082300498042201E-9	1.1394169000078233E-46	8.777308186393599E-44	0.11866641237184324	0.9572129299677172	0.5250337785724047	1.0	0.9038526522501794	1.0	0.0016819230799427064	0.0890252867326119	20,0065178748	4,3223981836
	2013014	2012700		-	fliE	b1937	flagellar basal-body component	15	7560	16	24	10	5333	10	16	0	479	0	1	6	3366	6	10	0.3955247499585521	1.0	1.6184519717716258E-19	9.350606266910568E-17	0.04185941310260846	0.6142038328897026	0.8799474294867637	1.0	0.5767775847786825	1.0	0.8398755435788932	1.0	15,7828810021	3,9802886734
	1962972	1962580		-	flhE	b1878	proton seal during flagellar secretion	16	7633	12	19	6	3083	4	7	1	522	0	1	6	3239	5	8	0.2781754202127628	1.0	2.140145238703548E-18	1.0990834770319778E-15	0.03275365351148803	0.5485645537326397	0.8350449379177983	1.0	0.46648298480703965	1.0	0.8442079831494129	1.0	14,622605364	3,8701284794
863625	863642	864304	864304	+	fsaA	b0825	fructose-6-phosphate aldolase 1	62	29570	29	44	9	4601	4	6	4	2154	2	3	92	47020	43	70	0.8617083551117887	1.0	3.574282131752887E-21	2.3600474304231207E-18	0.756181530687944	1.0	0.653402246367781	1.0	0.0845187213118121	1.0	0.2810425069929983	1.0	13,7279480037	3,7790440885
	2018386	2019513		+	fliK	b1943	flagellar hook-length control protein	56	26903	15	23	14	7264	3	6	4	2333	1	2	27	13980	7	12	0.21108375195880594	1.0	2.191221968446924E-15	8.439856615134736E-13	0.10626856475898327	0.9337895557338796	0.711067071752866	1.0	0.3283284266888858	1.0	0.11994672222555712	1.0	11,5315045006	3,5275088467
	2017946	2018389		+	fliJ	b1942	flagellar protein	18	8693	13	19	6	3178	4	7	1	794	1	1	11	5662	7	12	0.25934143568238643	1.0	7.198976518657823E-17	3.3273669469236455E-14	0.13790038620626188	1.0	0.7665599012451938	1.0	0.3436706638392998	1.0	0.011070669562415463	1.0	10,9483627204	3,4526432321
	2021869	2022606	2022606	+	fliP	b1948	flagellar biosynthesis protein	57	27087	24	36	19	9474	7	12	5	2670	2	3	49	24947	20	33	0.7397804185279887	1.0	7.499026729982428E-13	1.8242369234725674E-10	0.3193073567891648	1.0	0.7154149148645821	1.0	0.2609468232351642	1.0	0.08601722714919588	1.0	10,1449438202	3,3426889708
	1135564	1136262		+	flgH	b1079	flagellar protein of basal-body outer-membrane L ring	59	28312	27	40	16	8166	7	11	5	2813	2	4	50	25616	22	36	0.7756642933850083	1.0	3.8289677986831704E-13	9.83193842528534E-11	0.2888477940712678	1.0	0.6874561910738849	1.0	0.22974039338454302	1.0	0.09199355985410336	1.0	10,064699609	3,3312322091
1434415			1434371	-	-	predicted RNA	-	31	14870	220	330	1	657	8	14	3	1596	22	35	5	2697	37	59	1.6932525690739904E-4	0.010033606890076902	1.4167217548854422E-7	1.72318103975803E-5	1.2631240672800928E-8	1.824424824677684E-6	0.6963349677695041	1.0	0.1919459093090549	1.0	0.3033140172864046	1.0	9,3170426065	3,2198720907
	2001024	2000473		-	fliZ	b1921	RpoS antagonist; putative regulator of FliA activity	27	12954	15	23	13	6417	7	11	2	1431	1	2	9	4606	5	8	0.30786844805740243	1.0	7.081240216678976E-7	7.115107017715266E-5	0.00333661324318092	0.12048301882798602	0.7343276702083836	1.0	0.5470401877869359	1.0	0.18915527143181224	1.0	9,0524109015	3,178302072
1735331			1735344	+	-	predicted RNA	-	10	5077	242	362	0	474	20	33	1	601	27	42	2	1352	59	96	0.9068564107489254	1.0	5.461819106536648E-7	5.7373927069119064E-5	7.936414854377248E-4	0.03743072393564453	0.5584001018648962	1.0	0.2540594013738895	1.0	0.29025149321476673	1.0	8,4475873544	3,078539364
	1136274	1137371		+	flgI	b1080	putative flagellar basal body protein	52	24789	15	22	21	10483	5	9	5	2999	1	2	41	20840	11	18	0.2933718234825011	1.0	2.911070437190901E-9	4.805345557391551E-7	0.3291228329891214	1.0	0.7004155045944835	1.0	0.319330292793087	1.0	0.10097335358073672	1.0	8,2657552518	3,0471466463
	2016554	2017927		+	fliI	b1941	flagellum-specific ATP synthase	108	51336	24	37	28	13838	6	10	12	6442	2	4	101	51345	23	37	0.7599627589151162	1.0	5.46402708736266E-15	1.942671784445401E-12	0.3681566090736068	1.0	0.7076547792846734	1.0	0.2011369246413195	1.0	0.8837551679016655	1.0	7,9689537411	2,9943903225
	1433674	1433084	1433084	-	pinR	b1374	Rac prophage; putative site-specific recombinase	51	24374	27	41	9	4391	4	7	5	3063	3	5	36	18544	19	31	0.1519058762396923	1.0	9.742307934126685E-9	1.3645135536828345E-6	0.2614776606060803	1.0	0.5602934231986499	1.0	0.18379115477177993	1.0	0.11401361571297802	1.0	7,9575579497	2,9923257581
	2021088	2021501	2021503	+	fliN	b1946	flagellar motor switching and energizing component	54	25941	41	62	20	9765	14	23	6	3314	5	8	43	21996	32	53	0.27165440363778254	1.0	7.408502429838338E-9	1.070065569709775E-6	0.27751239467633393	1.0	0.676038022415793	1.0	0.29340912171236355	1.0	0.10380582569035518	1.0	7,8277006639	2,9685885875
5144	5234	5530	5553	+	yaaX	b0005	DUF2502 family putative periplasmic protein	44	20989	47	70	63	30997	64	104	5	2755	5	9	30	15438	32	51	0.396491695004906	1.0	5.714342070448874E-7	5.8692642332477104E-5	0.44075423991996954	1.0	2.2049080835397466E-5	0.0015923570565813609	0.617454716139614	1.0	0.12522545368465263	1.0	7,6185117967	2,9295092086
2352620	2352647	2354275		+	glpA	b2241	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding	76	36426	14	22	9	4655	1	2	9	4795	1	2	853	432927	164	265	0.8810383946482836	1.0	4.803719494068769E-11	1.0572757857898024E-8	2.617725430921717E-13	6.049563470860088E-11	0.4620251781758438	1.0	0.0022741543014520417	0.11944478615126518	4.389947889244676E-83	1.0145169572044446E-79	7,5966631908	2,9253658587
1638109	1638109	1637954	1637944	-	ynfN	b1551	Qin prophage; cold shock-induced protein	17	8067	34	51	0	338	1	2	2	1080	4	6	15	7733	30	49	0.9504079622844718	1.0	2.743910095912832E-6	2.3928966911903983E-4	0.46626309379131115	1.0	0.761802563073125	1.0	0.040868726964878394	1.0	0.10684124583123202	1.0	7,4694444444	2,9010009435
1134683	1134729	1135511	1135511	+	flgG	b1078	flagellar component of cell-distal portion of basal-body rod	72	34279	29	43	14	7264	5	9	9	4974	4	6	84	43048	33	54	0.8215999372805325	1.0	2.608579625976942E-9	4.4655018634316394E-7	0.6824276901456199	1.0	0.5416063401435643	1.0	0.1367228799081401	1.0	0.8857189756119156	1.0	6,8916365099	2,7848466105
1131854	1131854	1132549	1132549	+	flgD	b1075	flagellar hook assembly protein	101	48287	46	69	27	13323	11	19	13	7007	6	10	115	58374	51	83	0.7605618161196683	1.0	5.2808267104924744E-11	1.109453684358919E-8	0.44781392835420286	1.0	0.6101943408625888	1.0	0.17648110435092937	1.0	0.8915787737170121	1.0	6,8912516055	2,7847660324
2019585	2019618	2020082	2020082	+	fliL	b1944	flagellar biosynthesis protein	62	29511	42	63	32	15749	20	33	8	4380	5	9	42	21488	28	46	0.6405094970002262	1.0	5.0832990121029904E-8	6.712859438268577E-6	0.19358257691353306	1.0	0.6455396472971714	1.0	0.40016883422793126	1.0	0.12932007856096897	1.0	6,7376712329	2,7522500333
2021504	2021504	2021869		+	fliO	b1947	flagellar biosynthesis protein	53	25408	46	69	20	9772	16	26	8	4123	7	11	37	19256	32	52	0.27577235138888734	1.0	1.7506661429584244E-6	1.5915420989381704E-4	0.24556750679235817	1.0	0.6337806460812196	1.0	0.32087215314711515	1.0	0.13694061503062935	1.0	6,1625030318	2,6235164513
1130992	1131018	1131434	1131434	+	flgB	b1073	flagellar component of cell-proximal portion of basal-body rod	59	28101	45	67	15	7610	11	18	9	4760	7	11	68	34709	51	83	0.785833355457055	1.0	1.3925962902315923E-6	1.3135877660102897E-4	0.7259567759453914	1.0	0.560921824463939	1.0	0.17054338037588243	1.0	0.8720621627687866	1.0	5,9035714286	2,5615879923
1131435	1131438	1131842	1131851	+	flgC	b1074	flagellar component of cell-proximal portion of basal-body rod	57	27166	44	67	12	6275	9	15	9	4652	7	11	64	32800	50	80	0.1866231509997392	1.0	2.2963308812674316E-6	2.0410848717727058E-4	0.7270158981253705	1.0	0.5300259011723152	1.0	0.15288051420279347	1.0	0.8700130630382606	1.0	5,839638865	2,5458791527
	2015868	2016554		+	fliH	b1940	negative regulator of FliI ATPase activity	84	39930	38	58	26	13099	11	19	13	6921	6	10	61	31102	27	45	0.7364850848822297	1.0	1.263294435059204E-7	1.5780937510388218E-5	0.18964268058249328	1.0	0.5945957254407411	1.0	0.2802506350444965	1.0	0.17153455302303888	1.0	5,7693974859	2,5284206621
1638680	1638667	1638455	1638455	-	cspI	b1552	Qin prophage; cold shock protein	287	136103	427	638	45	22262	64	104	59	30887	91	145	206	104817	303	492	0.0065708332994110575	0.2618137199127406	3.3416389773611177E-9	5.325881156332098E-7	0.5039859917396117	1.0	0.6245155441149522	1.0	0.8240734916200728	1.0	0.732531580063699	1.0	4,4064816913	2,1396272108
1810871	1810934	1812325	1812325	+	ydjN	b1729	putative transporter	285	135603	65	97	106	51816	22	37	60	31410	14	22	140	71228	31	51	0.029790425567696763	0.8659833143012229	4.3556718137316985E-9	6.71063837435597E-7	0.09483614440659903	0.8784221632210435	0.9700585006933411	1.0	0.5784628759319641	1.0	0.26997108407187187	1.0	4,3171919771	2,1100932481
697133			697057	-	metT	b0673	Met tRNA	118	56078	486	728	301	147309	1177	1913	178	91932	756	1193	80	40688	326	528	0.6840364011814449	1.0	0.3346305508786026	0.9782810918158769	0.1410531190270727	1.0	0.38218611010495934	1.0	0.10651087805252354	1.0	0.11549691700528673	1.0	0,6099943436	-0,71313223
696830			696756	-	glnW	b0668	Gln tRNA	337	159957	1425	2132	724	353673	2903	4715	578	297952	2517	3972	472	239442	1972	3192	0.8768724820573771	1.0	2.7732008295956813E-6	2.3928966911903983E-4	0.4095438766866285	1.0	0.47674836727127967	1.0	0.5286960770466983	1.0	0.2510389982812341	1.0	0,5368549297	-0,8973958029
