"Transcription.Start"	"Transcription.Stop"	"Translation.Start"	"Translation.Stop"	"Strand"	"Name"	"Synonym"	"Normalized.Counts.1"	"Normalized.Counts.4"	"Expression.1"	"Expression.4"	"pValue.1.vs.4"	"qValue.1.vs.4"	"logNormalized.Counts"
3267093	3266046	3267065	3266127	"-"	"tdcA"	"b3118"	1962	116692	2	124	1.54814343874959e-37	1.43110379478012e-34	5.89423680646984
656010	654583	655968	654583	"-"	"dcuC"	"b0621"	3918	211156	2	152	1.1650136493595e-56	1.79489769577987e-53	5.7520480340859
3266029	3265032	3266028	3265039	"-"	"tdcB"	"b3117"	4247	228384	4	230	3.27254442160889e-60	7.56285015833814e-57	5.74887366379889
NA	2356711	2355521	2356711	"+"	"glpC"	"b2243"	4280	161980	3	136	9.9968669068953e-28	4.62055188436701e-25	5.24206108476395
3265031	3263686	3265017	3263686	"-"	"tdcC"	"b3116"	8186	236631	6	177	3.11726645529178e-28	1.60088950626207e-25	4.85333661026661
NA	NA	1283604	1285142	"+"	"narH"	"b1225"	30229	822996	19	534	8.98639947901628e-66	4.15351383920133e-62	4.76688025940849
NA	NA	3206256	3205324	"-"	"ttdR"	"b3060"	658	16995	0	18	8.89082822992618e-31	5.8704868683884e-28	4.69087896769379
NA	NA	2354265	2355524	"+"	"glpB"	"b2242"	10662	249957	8	198	8.7560387058916e-25	3.37253424155258e-22	4.55112993768451
NA	NA	4289245	4289811	"+"	"nrfB"	"b4071"	658	15290	1	26	2.38730256017157e-24	8.48777879470231e-22	4.53835701251293
1989490	1989210	1989490	1989251	"-"	"yecH"	"b1906"	711	14452	2	60	1.12700840438459e-19	3.47268856337704e-17	4.34527578981303
NA	NA	1285139	1285849	"+"	"narJ"	"b1226"	13692	273172	19	384	5.407377591103e-26	2.27208174782528e-23	4.31840451307792
943404	944031	943414	944031	"+"	"dmsB"	"b0895"	6447	111522	10	180	2.26674549757188e-07	2.49449944994696e-05	4.11255654567185
